routeid,routeno,routetp,startnodenm,startvehicletime,endnodenm,endvehicletime,intervaltime,intervalsattime,intervalsuntime
GGB239000005,40-5,농어촌(일반)버스,현리터미널,0625,귀목종점,1700,125,125,125
GGB239000006,43,농어촌(일반)버스,현리터미널,0600,청평터미널,1700,165,165,165
GGB239000007,40-6,농어촌(일반)버스,현리터미널,0725,행현2리,1650,185,185,185
GGB239000010,30-5,농어촌(일반)버스,청평터미널,0620,고재,2030,85,85,85
GGB239000011,30-3,농어촌(일반)버스,청평터미널,0730,수리재종점,1850,70,70,70
GGB239000012,80,농어촌(일반)버스,현리시장앞,0900,광릉내,1700,120,120,120
GGB239000013,30-6,농어촌(일반)버스,청평터미널,0900,사기막.성주사,1900,45,45,45
GGB239000014,40-2,농어촌(일반)버스,현리시장앞,0645,상봉수리,1830,105,105,105
GGB239000024,1330-44,농어촌(좌석)버스,운악산입구,0530,현대코아,2330,80,80,80
GGB239000031,73-1,농어촌(일반)버스,청평터미널,0640,가평터미널,1830,120,120,120
GGB239000032,10-4,농어촌(일반)버스,가평터미널,0740,남이섬종점,1940,70,70,70
GGB239000033,12,농어촌(일반)버스,가평터미널,0700,설악터미널,1830,130,130,130
GGB239000036,10-6,농어촌(일반)버스,가평터미널,0805,빙하리종점,1820,200,200,200
GGB239000038,74-1,농어촌(일반)버스,현리터미널,0700,돌아우마을,1730,150,150,150
GGB239000040,40-4,농어촌(일반)버스,현리터미널,0650,대보2리종점,1820,230,230,230
GGB239000041,74-2,농어촌(일반)버스,현리시장앞,0745,마일1리회관,1820,210,210,210
GGB239000044,20-1,농어촌(일반)버스,설악터미널,0725,영천벌,1840,235,235,235
GGB239000045,20-3,농어촌(일반)버스,설악터미널,0620,묵안리종점,2110,180,180,180
GGB239000047,60-29,농어촌(일반)버스,가평터미널,0650,두밀리종점,1850,285,205,205
GGB239000048,71-1,농어촌(일반)버스,가평역,0725,개곡2리마을회관,1900,120,120,120
GGB239000055,30-4,농어촌(일반)버스,호명산슈퍼,0920,호명호수,1730,90,90,90
GGB239000058,71-3,농어촌(일반)버스,가평터미널,0650,강산여성요양병원,1800,190,190,190
GGB239000065,20-2,농어촌(일반)버스,설악터미널,0705,대리종점,2110,120,120,120
GGB239000068,20-5,농어촌(일반)버스,설악터미널,0640,미사리종점,1950,120,120,120
GGB239000072,20-4,농어촌(일반)버스,설악터미널,0650,모곡,1840,200,200,200
GGB239000078,30-7,농어촌(일반)버스,청평터미널,0920,수목원.종점,1550,185,185,185
GGB239000082,30-2,농어촌(일반)버스,청평터미널,0640,수입1리.마을회관,1940,240,240,240
GGB239000084,10-7,농어촌(일반)버스,가평터미널,0440,가평역,1900,90,90,90
GGB239000101,71-4,농어촌(일반)버스,가평역,0650,연인산도립공원,1845,165,165,165
GGB239000104,8005,직행좌석버스,유명산종점,0600,현대코아,2200,300,300,300
GGB239000110,1330-2,직행좌석버스,가평터미널,0500,현대코아,2330,60,60,60
GGB239000111,1330-4,농어촌(좌석)버스,현리터미널,0445,현대코아,0000,30,30,30
GGB239000112,15,농어촌(일반)버스,가평역,0445,목동터미널,2210,105,105,105
GGB239000120,60-19,농어촌(일반)버스,가평터미널,0830,한석봉도서관,1830,60,60,60
GGB239000121,60-10,농어촌(일반)버스,가평터미널,0800,읍내10리,1900,60,60,60
GGB239000129,41,농어촌(일반)버스,현리터미널,0750,가평터미널,1810,200,200,200
GGB239000135,1330-3,직행좌석버스,목동터미널,0615,현대코아,1745,320,320,320
GGB239000138,40-8,농어촌(일반)버스,현리터미널,0720,귀목종점,1840,340,340,340
GGB239000139,7000,직행좌석버스,가평터미널,0630,잠실역.롯데월드,2150,210,340,340
GGB239000140,7001,직행좌석버스,효정매그놀리아국제병원,0530,잠실역.롯데월드,2355,35,130,130
GGB239000141,7002,직행좌석버스,유명산종점,0555,잠실역.롯데월드,2245,195,270,270
GGB239000142,30-8,농어촌(일반)버스,청평터미널,0730,행현2리,1650,535,535,535
GGB239000143,71-2,농어촌(일반)버스,가평터미널,1110,산유리유동,1910,330,330,330
GGB239000144,74-3,농어촌(일반)버스,현리터미널,0810,불기종점,1900,410,410,410
GGB239000145,15-3,농어촌(일반)버스,가평터미널,0950,꽃넘이길종점,1455,265,265,265
GGB239000146,15-1,농어촌(일반)버스,가평터미널,0650,백둔리종점,1700,385,385,385
GGB239000147,15-2,농어촌(일반)버스,가평터미널,0705,싸리재종점,1635,355,355,355
GGB239000148,15-4,농어촌(일반)버스,가평터미널,0640,건들레.종점,1710,350,350,350
GGB239000149,15-5,농어촌(일반)버스,가평터미널,0615,용수동종점,1705,320,320,320
GGB239000153,23-1,농어촌(일반)버스,설악터미널,0520,청평역,2150,40,40,40
GGB239000154,60-30,농어촌(일반)버스,가평역,0700,용수동종점,0700,720,720,720
GGB239000156,20-6,농어촌(일반)버스,설악터미널,0700,생명의빛홈타운,1830,60,120,120
GGB239000157,30,농어촌(일반)버스,청평터미널,0720,송천리,1840,120,120,120
GGB239000158,44,일반버스,청평터미널,0450,귀목종점,2120,140,170,170
GGB239000159,60,농어촌(일반)버스,가평터미널,0730,읍내10리,2030,60,60,60
