routeid,nodeid,nodeno,nodeord,nodenm,gpslati,gpslong
GGB239000005,GGB239000687,44173,1,현리터미널,37.8178,127.3484833
GGB239000005,GGB239000195,44016,2,조종중고교앞,37.8143833,127.3498667
GGB239000005,GGB239000963,44963,3,조종면사무소,37.8172667,127.3537333
GGB239000005,GGB239001003,66004,4,보송볼링장,37.8196,127.3506
GGB239000005,GGB239000992,44992,5,현7리마을회관,37.822,127.3498833
GGB239000005,GGB239000134,44632,6,안곡사거리,37.82765,127.3477333
GGB239000005,GGB239000755,44537,7,안곡마을,37.8318667,127.3452833
GGB239000005,GGB239000977,44977,8,여단앞,37.8341833,127.34455
GGB239000005,GGB239000133,44638,9,신상1리회관,37.8387333,127.35345
GGB239000005,GGB239000666,44434,10,신상교.산월랑입구,37.84425,127.35615
GGB239000005,GGB239000132,44450,11,신상2리회관,37.8477833,127.35545
GGB239000005,GGB239000472,44370,12,양추,37.8524333,127.3560833
GGB239000005,GGB239000131,44244,13,아래석거리,37.8579667,127.3559333
GGB239000005,GGB239000130,44245,14,만나교회,37.8606,127.3504167
GGB239000005,GGB239000473,44369,15,운악산.현등사입구,37.8645833,127.3502167
GGB239000005,GGB239000474,44368,16,와곡,37.868,127.3546167
GGB239000005,GGB239000475,44536,17,노체.꽃동네입구,37.8744,127.3577667
GGB239000005,GGB239000129,44246,18,노체2교앞,37.8793167,127.3600167
GGB239000005,GGB239000128,44451,19,구운악분교,37.8816333,127.3621333
GGB239000005,GGB239000127,44247,20,우무골,37.88655,127.3652667
GGB239000005,GGB239000476,44367,21,행정마을,37.8962,127.369
GGB239000005,GGB239000126,44248,22,상판리회관,37.9013833,127.3729333
GGB239000005,GGB239000824,44793,23,절골,37.90285,127.3758167
GGB239000005,GGB239000477,44366,24,샘말,37.90505,127.3794333
GGB239000005,GGB239000825,44398,25,새번동,37.91095,127.3821667
GGB239000005,GGB239000125,44249,26,장재울,37.9135167,127.38325
GGB239000005,GGB239000828,44420,27,보아귀골,37.9152333,127.388
GGB239000005,GGB239000124,44452,28,다락터,37.9195,127.3905667
GGB239000005,GGB239000123,44047,29,귀목종점,37.9225667,127.3933833
GGB239000005,GGB239000478,44535,30,다락터,37.91955,127.3904167
GGB239000005,GGB239000827,44722,31,보아귀골,37.9152667,127.3879167
GGB239000005,GGB239000479,44365,32,장재울,37.9136167,127.3834833
GGB239000005,GGB239000826,44202,33,새번동,37.911,127.3820333
GGB239000005,GGB239000122,44250,34,샘말,37.9050833,127.3793667
GGB239000005,GGB239000823,44643,35,절골,37.9028833,127.37575
GGB239000005,GGB239000480,44534,36,상판리회관,37.9014167,127.3728333
GGB239000005,GGB239000121,44251,37,행정마을,37.8962167,127.3689333
GGB239000005,GGB239000481,44364,38,우목골(현리방면),37.8866167,127.3652667
GGB239000005,GGB239000120,44453,39,구운악분교,37.88155,127.3619833
GGB239000005,GGB239000482,44363,40,노체2교앞,37.8794167,127.3599833
GGB239000005,GGB239000119,44252,41,노체삼거리,37.8743667,127.3576333
GGB239000005,GGB239000118,44253,42,운악산.현등사입구,37.8679833,127.3545
GGB239000005,GGB239000117,44254,43,운악산입구,37.8646,127.3500833
